"Y(X), créé par Plot Digitizer, 2.6.8"
"Date: 28/05/20, 12:04:30"


16
X,Y
305.811,4.87108,
336.419,4.70353,
379.558,4.64510,
417.821,4.50447,
464.434,4.36319,
518.703,4.24884,
569.492,4.13475,
617.497,3.99336,
662.718,3.85219,
716.988,3.76535,
781.700,3.76027,
827.623,3.72913,
854.757,3.67195,
882.587,3.61472,
904.155,3.55798,
927.812,3.52859,
