"Y(X), créé par Plot Digitizer, 2.6.8"
"Date: 29/05/20, 17:16:08"


17
X,Y
328.735,4.09864,
360.032,3.79342,
393.419,3.54309,
426.115,3.40291,
452.552,3.31826,
475.512,3.26141,
510.299,3.17611,
548.575,3.28319,
586.154,3.39032,
626.529,3.71742,
677.349,4.20884,
729.566,4.81023,
797.103,5.65813,
847.933,6.34220,
892.502,7.05429,
930.098,7.49170,
950.294,7.82038,
